"관측지점별","항목","단위","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월",
"북춘천","최심신적설","cm","5","7.6","","1.5","","","","","","","8.5","2.6",
"북춘천","최심신적설일자","","2018-01-22","2018-02-23","","2018-04-08","","","","","","","2018-11-24","2018-12-11",
"북춘천","합계신적설","cm","10.6","7.6","","1.5","","","","","","","8.5","4.2",
"북춘천","평균풍속","m/s","1.3","1.5","1.8","1.9","1.7","1.5","1.3","1.3","1.1","1.1","0.7","1",
"북춘천","최대풍속","m/s","8.4","7.5","8.8","8.7","8.3","8.6","6.7","10.3","5.9","8.6","6.7","6.4",
"북춘천","최대풍속일자","","2018-01-10","2018-02-10","2018-03-01","2018-04-10","2018-05-04","2018-06-28","2018-07-07","2018-08-15","2018-09-30","2018-10-06","2018-11-22","2018-12-27",
"북춘천","최대순간풍속","m/s","13.8","12.9","13.5","16.2","16.7","15.3","11","14.9","8.6","14.3","8.7","10.4",
"북춘천","최대순간풍속일자","","2018-01-10","2018-02-10","2018-03-01","2018-04-07","2018-05-17","2018-06-28","2018-07-06","2018-08-15","2018-09-30","2018-10-06","2018-11-22","2018-12-08",
"북춘천","평균상대습도","%","60","53","61","60","66","63","71","69","72","75","75","62",
"북춘천","최소상대습도","%","15","12","15","6","16","16","28","25","21","16","17","10",
"북춘천","최소상대습도일자","","2018-01-24","2018-02-24","2018-03-11","2018-04-21","2018-05-26","2018-06-22","2018-07-22","2018-08-01","2018-09-24","2018-10-21","2018-11-23","2018-12-27",
"북춘천","평균이슬점온도","℃","-13.2","-13.2","-1.1","2.6","9.6","14","20","19.9","13","5.1",".3","-10.6",
"북춘천","평균증기압","hPa","2.6","2.5","6.1","7.9","12.6","16.3","23.7","23.5","15.3","9.2","6.6","3.2",
"북춘천","합계일조시간","hr","203","214.2","204.3","218.7","233.2","252.8","243.9","223","205.5","200.3","148.2","194.9",
"북춘천","합계수평면일사","MJ/㎡","297.61","345.45","434.45","505.89","577.58","628.31","520.07","464.48","397.14","314.48","206.42","216.07",
"북춘천","평균전운량","할","3.9","3.6","4.6","4.9","5.4","5.6","5","6.1","5.4","4.5","5.1","3.9",
"북춘천","평균현지기압","hPa","1011.9","1011.2","1008.8","1004.2","1000.3","996.8","998.1","996.6","1002.6","1007.7","1012.2","1015.4",
"북춘천","평균해면기압","hPa","1024.3","1023.4","1020.6","1015.7","1011.5","1007.7","1008.9","1007.4","1013.8","1019.3","1024","1027.7",
"북춘천","최고해면기압","hPa","1034.8","1032.3","1033.2","1026.8","1025.2","1016.7","1017.5","1015.9","1024.6","1029","1031.3","1040.8",
"북춘천","최고해면기압일자","","2018-01-13","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-13","2018-11-02","2018-12-31",
"북춘천","최저해면기압","hPa","1006.5","1002.8","1000.9","1002.2","1000.3","995.9","995.6","990.4","993.7","998.6","1004.6","1014.6",
"북춘천","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"북춘천","평균지면온도","℃","-3.4","-2.2","7.5","14","20.2","28.4","","31.7","22.8","12.8","6.4","-1.7",
"철원","평균기온","℃","-7.3","-4.4","6.2","11.2","16.8","21.7","25.4","26.3","18.8","9.9","4.5","-4",
"철원","평균최고기온","℃","-1.2","2.1","12.8","17.9","22.8","27.8","30.4","31.8","25.2","17.2","11.4","2.6",
"철원","평균최저기온","℃","-13.3","-11.5","-.4","4.4","10.9","16","21.3","21.8","13","3.7","-1","-10.1",
"철원","최고기온","℃","7.7","9.8","21.9","27.1","29.5","32.3","36","38.4","29.4","24.6","18.6","11.4",
"철원","최고기온일자","","2018-01-17","2018-02-26","2018-03-29","2018-04-20","2018-05-15","2018-06-25","2018-07-28","2018-08-01","2018-09-01","2018-10-04","2018-11-04","2018-12-22",
"철원","최저기온","℃","-25.2","-21.1","-10.8","-3.5","5.7","12","14.7","15.4","5.9","-3.3","-8.4","-18.6",
"철원","최저기온일자","","2018-01-26","2018-02-07","2018-03-02","2018-04-08","2018-05-03","2018-06-16","2018-07-08","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-28",
"철원","합계강수량","mm","7.9","14.4","33.6","139.4","263.1","122.3","174.2","527","55.4","74.8","60.2","8.3",
"철원","평균풍속","m/s","1.1","1.5","2.1","2.5","2.2","1.8","2","1.9","1.5","1.3","1","1",
"철원","최대풍속","m/s","5.6","6.8","7.9","9.7","8.1","7.1","8.1","8.8","6.1","8.8","7.2","7.7",
"철원","최대풍속일자","","2018-01-10","2018-02-13","2018-03-20","2018-04-10","2018-05-08","2018-06-28","2018-07-07","2018-08-29","2018-09-06","2018-10-06","2018-11-08","2018-12-06",
"철원","최대순간풍속","m/s","10.7","11.3","13.4","16.4","13.4","13.7","12.2","14.2","10.6","16.9","12.4","12.6",
"철원","최대순간풍속일자","","2018-01-09","2018-02-13","2018-03-20","2018-04-10","2018-05-04","2018-06-28","2018-07-07","2018-08-29","2018-09-05","2018-10-28","2018-11-09","2018-12-06",
"철원","평균상대습도","%","61","52","64","61","68","70","80","79","77","77","77","62",
"철원","최소상대습도","%","19","13","20","8","17","25","35","37","25","18","15","10",
"철원","최소상대습도일자","","2018-01-02","2018-02-17","2018-03-03","2018-04-21","2018-05-20","2018-06-22","2018-07-21","2018-08-17","2018-09-19","2018-10-20","2018-11-28","2018-12-10",
"철원","평균이슬점온도","℃","-14.1","-13.7","-.9","2.5","9.8","15.3","21.3","21.8","13.9","5.1","0","-11.1",
"철원","평균증기압","hPa","2.4","2.4","6.1","7.7","12.7","17.6","25.8","26.4","16.3","9.2","6.5","3.1",
"철원","합계일조시간","hr","185.7","206.4","202.7","203.6","231.4","232.2","234.6","235.2","206.9","217.6","159","190.8",
"철원","평균전운량","할","","","","","","","","6","4.9","3.9","4.1","4",
"철원","평균현지기압","hPa","1004.8","1004.1","1001.8","997.4","993.5","990.1","991.6","990.1","995.8","1000.8","1005.1","1008.4",
"철원","평균해면기압","hPa","1025","1024","1020.9","1016","1011.6","1007.9","1009.2","1007.6","1013.9","1019.6","1024.4","1028.4",
"철원","최고해면기압","hPa","1034.8","1032.6","1033","1026.8","1024.6","1017.1","1017.2","1015.8","1024.2","1029.1","1031.1","1041.2",
"철원","최고해면기압일자","","2018-01-14","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-13","2018-11-23","2018-12-31",
"철원","최저해면기압","hPa","1006.9","1004.5","1001.3","1001.7","1001.3","996.2","996.1","992.3","995.1","1001.9","1004.2","1014.1",
"철원","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-03",
"철원","평균지면온도","℃","-3","-2.2","7.2","12.9","20","28","30.4","31.6","21.7","11.6","5","-2.8",
"동두천","평균기온","℃","-5.4","-2.6","7.4","12.4","17.4","22.1","26.3","27.2","19.8","11.4","6.4","-2",
"동두천","평균최고기온","℃",".8","4.4","14.6","19.9","24.1","28.7","31.5","33.3","26.2","18.6","13.5","4.6",
"동두천","평균최저기온","℃","-10.1","-8.6","1.9","6.3","11.4","16.7","22.2","23","14.8","5.5","1.2","-7.3",
"동두천","최고기온","℃","9.8","11.7","23.8","28.7","30.4","32.2","36.2","38.7","31.5","25.6","20.8","12.6",
"동두천","최고기온일자","","2018-01-17","2018-02-26","2018-03-30","2018-04-20","2018-05-26","2018-06-25","2018-07-24","2018-08-01","2018-09-01","2018-10-04","2018-11-03","2018-12-22",
"동두천","최저기온","℃","-20.4","-16.9","-8.4","-1.6","5.3","13.6","16","17.2","7.5","-1.4","-5.7","-15.5",
"동두천","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-03","2018-06-16","2018-07-08","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-28",
"동두천","합계강수량","mm","7","30.7","38.7","125.9","242.9","193.6","216.9","407.4","56.5","107.9","61.5","11",
"동두천","평균풍속","m/s","1.7","1.9","1.9","2.1","1.8","1.5","1.4","1.5","1.3","1.4","1.2","1.5",
"동두천","최대풍속","m/s","7.6","7.9","10.9","9.8","8.8","6.5","7.9","6","6.9","8.3","7","7.3",
"동두천","최대풍속일자","","2018-01-08","2018-02-22","2018-03-01","2018-04-10","2018-05-04","2018-06-21","2018-07-28","2018-08-29","2018-09-05","2018-10-27","2018-11-09","2018-12-23",
"동두천","최대순간풍속","m/s","13.2","13.5","16.8","20.7","14.2","13.8","12.7","9.8","10.7","12.7","9.7","11.3",
"동두천","최대순간풍속일자","","2018-01-24","2018-02-22","2018-03-01","2018-04-10","2018-05-04","2018-06-26","2018-07-28","2018-08-21","2018-09-05","2018-10-27","2018-11-09","2018-12-23",
"동두천","평균상대습도","%","51","44","58","55","65","67","75","72","69","65","62","48",
"동두천","최소상대습도","%","17","10","13","7","14","21","29","30","28","20","12","10",
"동두천","최소상대습도일자","","2018-01-21","2018-02-17","2018-03-03","2018-04-21","2018-05-20","2018-06-03","2018-07-21","2018-08-17","2018-09-25","2018-10-17","2018-11-28","2018-12-10",
"동두천","평균이슬점온도","℃","-14.5","-14.2","-1.2","1.9","9.7","14.9","20.9","21.2","13.2","4.3","-1.4","-12.6",
"동두천","평균증기압","hPa","2.3","2.4","6.1","7.5","12.6","17.3","25.1","25.6","15.6","8.6","6","2.9",
"동두천","합계일조시간","hr","198","215","209","215.9","242.6","237","240.5","226.3","210","230.7","166.6","198.7",
"동두천","평균전운량","할","","","","","","","","5.8","4.8","3.8","4.2","3.7",
"동두천","평균현지기압","hPa","1010.2","1009.5","1006.7","1002.3","998.3","994.9","996.2","994.6","1000.4","1005.6","1010","1013.6",
"동두천","평균해면기압","hPa","1024.8","1023.9","1020.9","1016.1","1011.8","1008.1","1009.2","1007.6","1013.8","1019.5","1024.3","1028.4",
"동두천","최고해면기압","hPa","1034","1031.9","1032.3","1026.4","1024.7","1017.2","1017","1015.2","1023.7","1028.4","1031.2","1040.8",
"동두천","최고해면기압일자","","2018-01-13","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-20","2018-11-23","2018-12-31",
"동두천","최저해면기압","hPa","1007.4","1003.6","1001.9","1003.1","1000.6","996.8","996","991.6","995.5","1001.7","1004.6","1013.6",
"동두천","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-03",
"동두천","평균지면온도","℃","-2.9","-1.6","8.3","14.5","20.8","27.3","30.7","33","22.7","13.4","6.1","-1.2",
"파주","평균기온","℃","-6.8","-4.2","5.8","10.6","16","20.8","25.5","26.5","19.2","10.3","5","-3.2",
"파주","평균최고기온","℃","-.8","2.7","12.4","17.7","22.6","27.4","30.9","32.2","25.8","18.4","12.4","3.3",
"파주","평균최저기온","℃","-12.2","-11.3",".1","4.3","10.3","15.7","21.5","22.3","14","4.1","-.7","-9",
"파주","최고기온","℃","8","9.6","21.1","25.3","29.9","31","36.7","37.6","30.1","25.5","19.4","11.4",
"파주","최고기온일자","","2018-01-17","2018-02-14","2018-03-30","2018-04-20","2018-05-15","2018-06-22","2018-07-22","2018-08-01","2018-09-01","2018-10-04","2018-11-03","2018-12-02",
"파주","최저기온","℃","-23.5","-20.6","-9.7","-3.8","4.5","11.8","14.8","16.6","6.9","-3.1","-8.3","-17.7",
"파주","최저기온일자","","2018-01-27","2018-02-07","2018-03-02","2018-04-08","2018-05-03","2018-06-03","2018-07-08","2018-08-17","2018-09-25","2018-10-30","2018-11-23","2018-12-28",
"파주","합계강수량","mm","6.1","28.6","36.3","122.4","208.2","137","127.4","129.5","50.3","102","50.5","11.2",
"파주","평균풍속","m/s","1.4","1.7","2","2.2","1.8","1.5","1.4","1.4","1.3","1.2","1","1.2",
"파주","최대풍속","m/s","6.2","6.6","7.2","10.1","7.2","6.8","4.9","6.4","6","6.6","5.7","6.4",
"파주","최대풍속일자","","2018-01-10","2018-02-10","2018-03-01","2018-04-10","2018-05-04","2018-06-28","2018-07-07","2018-08-21","2018-09-06","2018-10-28","2018-11-09","2018-12-07",
"파주","최대순간풍속","m/s","10.2","11.3","12.4","18","12.4","11.5","8.6","9.8","10.9","11.2","9.8","9.7",
"파주","최대순간풍속일자","","2018-01-10","2018-02-13","2018-03-27","2018-04-10","2018-05-04","2018-06-28","2018-07-07","2018-08-21","2018-09-06","2018-10-28","2018-11-09","2018-12-06",
"파주","평균상대습도","%","64","57","71","67","76","79","83","82","80","79","77","62",
"파주","최소상대습도","%","24","12","14","12","21","24","33","42","33","23","15","17",
"파주","최소상대습도일자","","2018-01-21","2018-02-10","2018-03-03","2018-04-21","2018-05-20","2018-06-02","2018-07-22","2018-08-17","2018-09-24","2018-10-17","2018-11-28","2018-12-26",
"파주","평균이슬점온도","℃","-13.1","-12.6",".2","3.6","11.1","16.4","21.9","22.9","15","5.9",".5","-10.3",
"파주","평균증기압","hPa","2.6","2.7","6.7","8.4","13.7","18.9","26.6","28.2","17.5","9.6","6.8","3.3",
"파주","합계일조시간","hr","200.4","216.3","207.8","220.8","236","230.2","245.2","230.2","220.6","220.4","165.2","199.7",
"파주","평균전운량","할","","","","","","","","5.6","4.6","3.9","4.1","3.7",
"파주","평균현지기압","hPa","1021.1","1020.3","1017.1","1012.4","1008.1","1004.6","1005.4","1004","1010.1","1015.7","1020.3","1024.3",
"파주","평균해면기압","hPa","1024.9","1024.1","1020.9","1016.1","1011.9","1008.1","1008.9","1007.4","1013.7","1019.4","1024.1","1028.3",
"파주","최고해면기압","hPa","1034.1","1031.6","1031.9","1026","1024.7","1017.1","1016.8","1015","1023.6","1028.4","1030.9","1040.5",
"파주","최고해면기압일자","","2018-01-12","2018-02-02","2018-03-06","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-20","2018-11-23","2018-12-31",
"파주","최저해면기압","hPa","1007.6","1004.1","1001.9","1003","1000.8","997.1","995.9","991.7","995.8","1002.6","1004.5","1013.6",
"파주","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-03",
"파주","평균지면온도","℃","-3.1","-1.7","7","13.1","19.5","25.4","29.3","29.5","22.1","12.3","5.3","-2.4",
"대관령","평균기온","℃","-8.5","-6.5","2.3","8.1","12.5","17.1","21.4","21.1","14.2","6.9","2.7","-5",
"대관령","평균최고기온","℃","-3.2","-1.2","7.4","13.9","18.2","22.8","25.8","25.5","18.7","12.9","8.8",".7",
"대관령","평균최저기온","℃","-13.5","-12.4","-4.1","2","6.8","11.8","17.8","17.5","9.7","1.5","-2.7","-10.8",
"대관령","최고기온","℃","3.9","5.3","17.5","27.3","28.3","28.5","32.9","32.2","23.2","18.6","16.8","11.1",
"대관령","최고기온일자","","2018-01-15","2018-02-25","2018-03-31","2018-04-20","2018-05-15","2018-06-24","2018-07-22","2018-08-03","2018-09-04","2018-10-07","2018-11-03","2018-12-03",
"대관령","최저기온","℃","-24.4","-23.4","-17.1","-4.8",".4","6.4","10.4","10.9","1.8","-4.5","-9.2","-20.3",
"대관령","최저기온일자","","2018-01-27","2018-02-07","2018-03-06","2018-04-08","2018-05-21","2018-06-01","2018-07-08","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-31",
"대관령","합계강수량","mm","4.3","43.2","72.9","128.7","203","83.5","228","542.6","195.4","158.4","50.4","21",
"대관령","평균풍속","m/s","4.7","4.8","4.3","4.3","3.8","2.7","2.9","2.6","2.4","3.3","2.8","3.7",
"대관령","최대풍속","m/s","14.1","13.1","16.5","14.2","14.2","12","9.7","10.6","10.7","14.3","15.3","11.5",
"대관령","최대풍속일자","","2018-01-09","2018-02-11","2018-03-01","2018-04-10","2018-05-24","2018-06-26","2018-07-12","2018-08-30","2018-09-06","2018-10-27","2018-11-09","2018-12-19",
"대관령","최대순간풍속","m/s","22.4","21.4","26.3","22.6","22.1","20.9","14.6","17.2","18.8","20.4","21.1","16.4",
"대관령","최대순간풍속일자","","2018-01-09","2018-02-13","2018-03-01","2018-04-10","2018-05-04","2018-06-26","2018-07-12","2018-08-21","2018-09-05","2018-10-27","2018-11-09","2018-12-19",
"대관령","평균상대습도","%","57","54","69","60","74","76","86","89","87","77","72","60",
"대관령","최소상대습도","%","13","13","14","8","13","15","30","48","33","13","14","8",
"대관령","최소상대습도일자","","2018-01-27","2018-02-17","2018-03-17","2018-04-19","2018-05-15","2018-06-03","2018-07-22","2018-08-18","2018-09-30","2018-10-22","2018-11-04","2018-12-31",
"대관령","평균이슬점온도","℃","-16.2","-15.3","-3.6","-.9","7.1","11.9","18.3","18.9","11.6","2.5","-2.5","-12.6",
"대관령","평균증기압","hPa","2.1","2.2","5","6.1","10.6","14.2","21.4","22.1","14","7.7","5.5","3",
"대관령","합계일조시간","hr","238.3","233.3","231","268.4","265","267.3","239.5","183","132.1","225.6","170.1","207.4",
"대관령","합계수평면일사","MJ/㎡","304.65","350.85","445.11","550.5","565.92","602.53","556.56","478.48","358.66","344.73","227.38","227.76",
"대관령","평균전운량","할","","","","","","","","6.7","6.2","4.1","4.2","4",
"대관령","평균현지기압","hPa","926.9","927.2","928.5","925.7","923.6","921.9","924.4","923.3","926.8","928.8","931.6","931.6",
"대관령","평균해면기압","hPa","1023.1","1022.6","1020.8","1015.6","1011.6","1008","1009.3","1008.2","1014.4","1019.3","1024","1026.9",
"대관령","최고해면기압","hPa","1037.8","1034.4","1036.6","1027.9","1026.1","1018.5","1019","1017.3","1026.3","1031.8","1033.5","1044.3",
"대관령","최고해면기압일자","","2018-01-14","2018-02-02","2018-03-06","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-16","2018-09-10","2018-10-13","2018-11-02","2018-12-31",
"대관령","최저해면기압","hPa","1003.3","1001.3","998","1000.5","1001.1","994.3","995.3","987.5","991.3","998.8","1002.1","1012",
"대관령","최저해면기압일자","","2018-01-09","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-26","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
"대관령","평균지면온도","℃","-6.2","-5.1","2.6","8.5","15","22.3","25","24.4","16.9","8.5","2.9","-3.5",
"춘천","평균기온","℃","-5.5","-3","7.3","12.4","17.7","23.1","26.7","27.3","19.6","10.9","5.6","-2.8",
"춘천","평균최고기온","℃",".3","3.4","13.5","19.3","23.5","29.1","31.5","32.3","25.3","17.5","11.7","3.3",
"춘천","평균최저기온","℃","-10.6","-9.3","1","6","11.8","17.6","22.6","23.3","15","5.8","1.2","-7.8",
"춘천","최고기온","℃","8.2","10.9","23.1","29.1","30.6","33.9","37.2","39.5","29.1","24.3","18.8","11.6",
"춘천","최고기온일자","","2018-01-17","2018-02-26","2018-03-29","2018-04-20","2018-05-26","2018-06-25","2018-07-24","2018-08-01","2018-09-01","2018-10-04","2018-11-03","2018-12-22",
"춘천","최저기온","℃","-21.6","-18","-7.4","-1.6","3.4","13.4","14.7","17.4","8.3","-2.4","-6.6","-16.4",
"춘천","최저기온일자","","2018-01-26","2018-02-05","2018-03-02","2018-04-08","2018-05-04","2018-06-16","2018-07-08","2018-08-18","2018-09-25","2018-10-30","2018-11-23","2018-12-29",
"춘천","합계강수량","mm","5.9","36.5","32.8","139.5","201.9","104.1","213.6","389.5","69.9","127.5","63.5","16.8",
"춘천","평균풍속","m/s","1.3","1.5","1.9","1.9","1.7","1.7","1.5","1.6","1.5","1.2","1","1.1",
"춘천","최대풍속","m/s","6.7","6.2","6.6","7.4","8","6.9","5.2","8.4","5.6","6.8","6.2","6",
"춘천","최대풍속일자","","2018-01-08","2018-02-13","2018-03-15","2018-04-10","2018-05-03","2018-06-28","2018-07-07","2018-08-29","2018-09-30","2018-10-06","2018-11-09","2018-12-23",
"춘천","최대순간풍속","m/s","11.5","11.3","12.3","12.8","13","13.4","9.4","14.2","9.7","11","11.2","11",
"춘천","최대순간풍속일자","","2018-01-08","2018-02-13","2018-03-19","2018-04-11","2018-05-03","2018-06-28","2018-07-29","2018-08-29","2018-09-30","2018-10-06","2018-11-08","2018-12-07",
"춘천","평균상대습도","%","62","54","64","62","70","67","79","77","76","77","77","64",
"춘천","최소상대습도","%","20","14","20","9","25","18","36","35","29","26","19","14",
"춘천","최소상대습도일자","","2018-01-01","2018-02-21","2018-03-11","2018-04-21","2018-05-23","2018-06-22","2018-07-22","2018-08-01","2018-09-24","2018-10-21","2018-11-23","2018-12-27",
"춘천","평균이슬점온도","℃","-12.5","-12.3","-.1","3.8","11","15.7","22.1","22.3","14.5","6.3","1.3","-9.6",
"춘천","평균증기압","hPa","2.7","2.7","6.5","8.5","13.7","18.2","27","27.3","16.9","9.9","7","3.4",
"춘천","합계일조시간","hr","186.7","201.9","203.2","217.7","231.5","252","245","232.7","207.8","188.7","134.3","178.8",
"춘천","합계수평면일사","MJ/㎡","274.35","323.46","418.73","498.66","566.15","622.37","598.56","545.21","449.98","325.79","209.29","223.95",
"춘천","평균현지기압","hPa","1014.4","1013.7","1011.3","1006.7","1002.6","999.1","1000.5","999","1005.1","1010.2","1014.7","1018",
"춘천","평균해면기압","hPa","1024.4","1023.5","1020.7","1015.8","1011.6","1007.8","1009.1","1007.6","1014","1019.5","1024.2","1027.9",
"춘천","최고해면기압","hPa","1034.8","1032.4","1033.2","1027","1025.3","1016.8","1017.5","1016.1","1024.8","1029.2","1031.5","1041",
"춘천","최고해면기압일자","","2018-01-13","2018-02-02","2018-03-07","2018-04-13","2018-05-10","2018-06-02","2018-07-09","2018-08-17","2018-09-11","2018-10-13","2018-11-02","2018-12-31",
"춘천","최저해면기압","hPa","1006.7","1002.9","1001.1","1002.1","1000.5","996.1","995.7","990.7","994.1","999","1004.8","1014.7",
"춘천","최저해면기압일자","","2018-01-08","2018-02-28","2018-03-01","2018-04-10","2018-05-02","2018-06-28","2018-07-04","2018-08-24","2018-09-04","2018-10-06","2018-11-08","2018-12-04",
